Vannlokalitet_kode,Vannlokalitetsnavn,type,programmes,utm33_x,utm33_y,first_year,last_year,n_records,parameters
04.02-87349,Rossfjordneset,Kyst,OEKK,634587.6,7701652.7,2022,2022,25,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;DFSTEIN;MADEKNSK;MHRFORSK;RSLA3
04.02-87350,Sennavika,Kyst,OEKK,628203.7,7711563.4,2022,2022,35,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
04.02-87351,Trettevika,Kyst,OEKK,619720.3,7712126.2,2022,2022,49,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
04.02-87357,Aursfjorden,Kyst,OEKK,642327.5,7691920.6,2022,2022,40,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSL4
04.03-84992,Spildra (Guiveluokta),Kyst,OEKK,756286.1,7781587.3,2023,2023,32,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSLA2
04.03-92951,Innerklubben,Kyst,OEKK,736883,7773645.9,2023,2023,30,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92952,Nyheim,Kyst,OEKK,736432.4,7770742.2,2023,2023,45,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
04.03-92953,Vindneset,Kyst,OEKK,730320.6,7757168.6,2023,2023,27,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSL4
04.03-92954,Nakkebukta,Kyst,OEKK,681834.7,7747840.4,2023,2023,42,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92955,Gropalandet,Kyst,OEKK,680568.4,7738527.4,2023,2023,28,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92956,Davvisiidineset,Kyst,OEKK,727645.2,7756214.7,2023,2023,26,BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSL4
04.03-92957,Kjosen,Kyst,OEKK,691386,7729794.2,2023,2023,38,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;DFSTEIN;MADEKNSK;MHRFORSK;RSL4
04.03-92958,Lille Haukøya,Kyst,OEKK,739293.3,7780954.1,2021,2024,95,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFSTEIN;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92961,Rødmannsneset,Kyst,OEKK,704015.8,7783495.7,2021,2021,62,AFMINPYT;AFSTORPYT;BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92962,Kvitbergan,Kyst,OEKK,686802.7,7746534.2,2021,2024,90,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;DFSTEIN;MADEKNSK;MHRFORSK;RSLA2
04.03-92963,Kvalshausen,Kyst,OEKK,703737.8,7792027.5,2021,2024,94,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92964,Heimerneset,Kyst,OEKK,707510.2,7796806.3,2024,2024,41,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
04.03-92966,Okseneset,Kyst,OEKK,688047.9,7729303.1,2021,2024,79,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSL4
04.03-92967,"Straumfjorden, Sandnes",Kyst,OEKK,737935.1,7759487.8,2023,2023,26,BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;DFSTEIN;MADEKNSK;MHRFORSK;RSL4
04.03-92968,Offeren,Kyst,OEKK,726913.3,7763968.9,2023,2023,41,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA3
04.23-79151,Værneset,Kyst,OEKK,971473.7,7905058.9,2022,2022,38,BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA3
04.23-79152,Øyenden,Kyst,OEKK,974879.1,7891845.2,2022,2022,56,BFISKUR;BFSSKUR;BFTURB;DFSTEIN;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA3
04.23-79153,Dego (Deaigu),Kyst,OEKK,985960,7911788.8,2022,2022,44,BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
04.23-79154,Krøkebærneset (Muorjegárnjárga),Kyst,OEKK,998020.9,7913164.1,2022,2022,54,AFGRUNPYT;BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
04.23-98580,Tana,Kyst,OEKK,975933.3,7932210.8,2021,2024,129,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSLA1
04.24-98572,"Varangerfjorden indre, Kalevatn",Kyst,OEKK,1026252,7834012.2,2022,2022,43,BFISKUR;BFSSKUR;BFTURB;DFKAMPST;MADEKNSK;MHRFORSK;RSLA2
04.24-98573,"Varangerfjorden indre, Sjåholmen",Kyst,OEKK,1021182.4,7841377,2022,2022,39,BFISKUR;BFSSKUR;BFTURB;DFSTEIN;MADEKNSK;MHRFORSK;RSLA3
04.24-98574,"Oterneset, Neidenfjorden",Kyst,OEKK,1061197.5,7800474.1,2022,2022,1,BFTURB
04.24-98575,Styggbukta,Kyst,OEKK,1082328.5,7821256.7,2022,2022,36,BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
04.24-98576,Lille Karpbukta,Kyst,OEKK,1091745.5,7804693.3,2022,2022,2,BFISKUR;BFTURB
04.24-98577,Skjærgardsneset,Kyst,OEKK,1103083.1,7821295.1,2022,2022,40,BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA1
04.24-98578,Avalhjoka,Kyst,OEKK,1073598.8,7803508.8,2022,2022,47,BFISKUR;BFSSKUR;BFTURB;DFSTEIN;MADEKNSK;MHRFORSK;RSLA3
04.24-98579,Langnes,Kyst,OEKK,1079048.8,7805398.4,2022,2022,23,BFISKUR;BFSSKUR;BFTURB;DFSTEIN;MADEKNSK;MHRFORSK;RSL4
04.24-98581,"Varangerfjorden indre, Pelsneset",Kyst,OEKK,1021437.2,7834342,2021,2024,96,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSLA2
04.24-98582,"Varangerfjorden, Svinøy",Kyst,OEKK,1046794.2,7831629.9,2021,2024,90,AFMINPYT;BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
04.24-98583,Brasneset,Kyst,OEKK,1060979.8,7805259,2021,2024,71,AFOVHENG;BFISKUR;BFSSKUR;BFTURB;DFOPPSFJ;MADEKNSK;MHRFORSK;RSL4
04.24-98584,Holmengrå,Kyst,OEKK,1081874,7822018.7,2021,2024,105,AFOVHENG;BFISKUR;BFSSKUR;BFTURB;DFSTOPFJ;MADEKNSK;MHRFORSK;RSLA2
